Protocol Risk,SubDomain Count,TLD Length,URL Length,?,-,%,=,@,!,^,&,#,Digit Count,Content Length,Redirects,Frames,IFrames,Tags,Phishing
1,2,2,6,0,0,0,0,0,0,0,0,0,4,6672,3,0,0,23,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,118,0,0,0,6,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,355047,95,0,0,744,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,146,0,0,0,8,0
1,2,3,6,1,1,1,1,1,1,1,1,1,9,684549,0,0,0,1,1
1,2,2,6,1,1,1,1,1,1,1,1,1,4,6672,3,0,0,23,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,92647,423,0,0,1467,0
1,2,3,6,1,1,1,1,1,1,1,1,1,7,34848,0,0,1,48,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,3391,2,0,0,39,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,6021,0,0,0,19,0
1,2,4,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
1,2,2,6,0,0,0,0,0,0,0,0,0,0,80217,74,0,0,447,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,318854,230,0,5,1088,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,278430,722,0,7,1866,0
1,2,3,6,1,1,1,1,1,1,1,1,1,0,29383,51,0,0,345,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,146,0,0,0,8,0
1,2,3,6,1,1,1,1,1,1,1,1,1,6,104785,0,0,0,1,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,103716,457,0,1,1556,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,146,0,0,0,8,0
1,2,3,6,1,1,1,1,1,1,1,1,1,7,4455,2,0,0,43,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,146,0,0,0,8,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,9450,25,0,0,171,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,78698,237,0,0,1141,0
1,2,3,6,1,1,1,1,1,1,1,1,1,9,145182,2,0,0,61,1
1,2,3,6,1,1,1,1,1,1,1,1,1,7,34848,0,0,1,48,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,179310,115,0,0,1181,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,162659,226,0,0,891,0
1,2,3,6,1,1,1,1,1,1,1,1,1,9,4455,2,0,0,43,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,179,0,0,0,8,0
1,2,4,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1
1,2,3,6,1,1,1,1,1,1,1,1,1,3,93844,8,0,0,63,1
1,2,4,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,265193,76,0,0,861,0
1,2,3,6,0,0,0,0,0,0,0,0,0,2,340,0,0,1,2,0
1,2,4,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,17871,22,0,0,157,0
