,rank,Domain,Protocol Risk,SubDomain Count,Top-level Domain,Domain Name,Path,Domain Registration
146,147,https://aria.microsoft.com,,,,,,
147,148,https://pipe.aria.microsoft.com,,,,,,
148,149,https://itunes-apple.com.akadns.net,,,,,,
149,150,https://upload.fp.measure.office.com,,,,,,
150,151,https://gcp.gvt2.com,,,,,,
151,152,https://c10r.facebook.com,,,,,,
152,153,https://init.itunes.apple.com,,,,,,
153,154,https://apple.com.akadns.net,,,,,,
154,155,https://tpc.googlesyndication.com,,,,,,
155,156,https://beacons.gcp.gvt2.com,,,,,,
156,157,https://edge-mqtt.facebook.com,,,,,,
157,158,https://www.googleadservices.com,,,,,,
158,159,https://dl.delivery.mp.microsoft.com,,,,,,
159,160,https://tlu.dl.delivery.mp.microsoft.com,,,,,,
160,161,https://smoot.apple.com,,,,,,
161,162,https://ad.doubleclick.net,,,,,,
162,163,https://activity.windows.com,,,,,,
163,164,https://api.msn.com,,,,,,
164,165,https://gs-loc.apple.com,,,,,,
165,166,https://opendns.com,,,,,,
166,167,https://mesu.apple.com,,,,,,
167,168,https://signaler-pa.clients6.google.com,,,,,,
168,169,https://googlevideo.com,,,,,,
169,170,https://azure.com,,,,,,
170,171,https://clients2.google.com,,,,,,
171,172,https://manage.microsoft.com,,,,,,
172,173,https://browser.events.data.microsoft.com,,,,,,
173,174,https://lh5.googleusercontent.com,,,,,,
174,175,https://scorecardresearch.com,,,,,,
175,176,https://instagram.com,,,,,,
176,177,https://ls-apple.com.akadns.net,,,,,,
177,178,https://browser.pipe.aria.microsoft.com,,,,,,
178,179,https://sentry.io,,,,,,
179,180,https://mail.google.com,,,,,,
180,181,https://sb.scorecardresearch.com,,,,,,
181,182,https://xx.fbcdn.net,,,,,,
182,183,https://analytics.google.com,,,,,,
183,184,https://xp.apple.com,,,,,,
184,185,https://web.facebook.com,,,,,,
185,186,https://ogs.google.com,,,,,,
186,187,https://init.push.apple.com,,,,,,
187,188,https://v20.events.data.microsoft.com,,,,,,
188,189,https://res.office365.com,,,,,,
189,190,https://facebook.net,,,,,,
190,191,https://connect.facebook.net,,,,,,
191,192,https://us-v20.events.data.microsoft.com,,,,,,
192,193,https://config.office.net,,,,,,
193,194,https://clients.config.office.net,,,,,,
194,195,https://clients3.google.com,,,,,,
195,196,https://nexusrules.officeapps.live.com,,,,,,
196,197,https://r2m01.amazontrust.com,,,,,,
197,198,https://addons-pa.clients6.google.com,,,,,,
198,199,https://msftconnecttest.com,,,,,,
199,200,https://ocsp.r2m01.amazontrust.com,,,,,,
