,URL,Phishing,Protocol Risk,SubDomain Count,TLD Length,URL Length,?,-,%,=,@,!,^,&,#,Digit Count,Content Length,Redirects,Frames,IFrames,Tags
0,wikipedia.org,0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86351.0,329.0,0.0,0.0,989.0
3,facebook.com,0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66799.0,46.0,0.0,0.0,194.0
4,instagram.com,0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344462.0,0.0,0.0,0.0,184.0
7,pinterest.com,0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286098.0,1.0,0.0,0.0,127.0
8,twitter.com,0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174371.0,6.0,0.0,0.0,102.0
9,cambridge.org,0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227983.0,146.0,0.0,1.0,753.0
10,merriam-webster.com,0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165709.0,153.0,0.0,1.0,1225.0
11,imdb.com,0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,6.0
12,weather.com,0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060210.0,224.0,0.0,0.0,1072.0
13,wiktionary.org,0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61743.0,189.0,0.0,0.0,633.0
15,collinsdictionary.com,0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5616.0,1.0,0.0,0.0,46.0
16,blog.youtube,0,1.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125762.0,88.0,0.0,1.0,649.0
18,cricbuzz.com,0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125483.0,252.0,0.0,1.0,1233.0
19,google.co.in,0,1.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20393.0,27.0,0.0,0.0,93.0
20,whatsapp.com,0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258223.0,71.0,0.0,0.0,1160.0
