,URL,Phishing,Protocol Risk,SubDomain Count,TLD Length,URL Length,?,-,%,=,@,!,^,&,#,Digit Count,Content Length,Redirects,Frames,IFrames,Tags
805,ship24.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,2,341006,205,0,0,1394
806,yout.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,21299,24,0,0,243
810,att.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,259,0,0,0,6
811,fotor.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,185912,203,0,0,1137
812,tenki.jp,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,176582,391,0,2,1616
817,y2mate.la,0,1,3,2,6,0,0,0,0,0,0,0,0,0,1,12734,40,0,1,227
818,todamateria.com.br,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,206302,138,0,1,508
819,bom.gov.au,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,1386,4,0,0,10
820,livesoccertv.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,5858,0,0,0,19
821,pngtree.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,4925,1,0,0,46
824,collegedunia.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,919,0,0,0,13
825,reclameaqui.com.br,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,275,0,0,0,6
826,harpersbazaar.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,421026,131,0,0,1088
827,flickr.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,334874,68,0,0,699
828,corriere.it,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,606022,1208,0,0,5747
829,amazone.net,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,85537,229,0,1,1001
831,24h.com.vn,0,1,4,2,6,0,0,0,0,0,0,0,0,0,2,933603,391,0,0,1931
832,housing.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,448434,820,0,0,3593
833,tempo.co,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,149632,313,0,1,1448
834,nymag.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,1382028,378,0,1,2626
835,yahooinc.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,43297,56,0,0,340
836,westernunion.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,97538,81,0,1,557
837,trueid.net,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,212,0,0,0,5
838,lemonde.fr,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,235428,285,0,0,1480
839,wordunscrambler.net,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,44729,192,0,0,685
840,aemet.es,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,75429,259,0,0,867
841,kurashiru.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,155123,55,0,1,591
842,aol.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,459360,334,0,0,2244
843,lexicool.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,21670,98,0,0,383
844,exchangerates.org.uk,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,117938,520,0,1,2459
845,basketball-reference.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,340003,866,0,2,4462
846,xatakandroid.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,134239,343,0,0,1356
847,yelp.ca,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,192728,87,0,1,810
848,shiksha.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,263,0,0,0,6
849,aisensy.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,146,0,0,0,8
850,spiegel.de,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,1358085,665,0,1,8160
851,satta-king-fixed-no.in,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,270098,133,0,0,5707
852,shein.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,1133,0,0,0,14
853,npmjs.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,28813,24,0,0,145
854,linternaute.fr,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,147256,354,0,0,1307
855,airbnb.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,1285729,45,0,0,1370
856,repubblica.it,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,695662,851,0,0,5014
857,usmagazine.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,433501,136,0,1,1452
858,tunestotube.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,17870,9,0,1,233
859,petsmart.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,418391,930,0,1,3454
860,tuasaude.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,98616,108,0,0,810
861,usda.gov,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,47801,124,0,1,542
862,bcci.tv,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,523689,248,0,0,1863
863,stylecraze.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,143530,204,0,0,1124
864,pewresearch.org,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,187790,247,0,2,1181
865,sbi.co.in,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,308593,664,0,0,1944
866,sarkariexam.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,150309,521,0,0,1516
867,onlinevideoconverter.pro,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,43159,52,0,0,333
868,ihg.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,912129,157,0,0,2716
